Filepath,setBpm,Fail Reason
Z:\BS Files\BeastSaber\BeastSaber Pt 2\102cd\,128,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\102ce\,80,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\102cf\,190,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\102d0\,140,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\102d1\,0,No BPM in File
Z:\BS Files\BeastSaber\BeastSaber Pt 2\102d1\,0,0,No Audio File Found
Z:\BS Files\BeastSaber\BeastSaber Pt 2\102d2\,235,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\102d6\,125,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\102dc\,175,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\102df\,128,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\102e1\,69,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\102e4\,180,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\102ec\,170,0,No Audio File Found
Z:\BS Files\BeastSaber\BeastSaber Pt 2\102f\,115,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\102f1\,90,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\102f2\,169,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\102f4\,157,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\102fb\,216,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\102fc\,174,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\102fe\,155,0,No Audio File Found
Z:\BS Files\BeastSaber\BeastSaber Pt 2\102ff\,150,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1031\,0,No BPM in File
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1031\,0,0,No Audio File Found
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1033\,195,0,No Audio File Found
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1033b\,126,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1035a\,127,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1035d\,115,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1035e\,160,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1036a\,408,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1036c\,208,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1036e\,123,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1037\,85,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1037c\,0,No BPM in File
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1037c\,0,0,No Audio File Found
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1039\,91,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1039c\,130,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\103a\,147,0,No Audio File Found
Z:\BS Files\BeastSaber\BeastSaber Pt 2\103a3\,120,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\103a4\,128,0,No Audio File Found
Z:\BS Files\BeastSaber\BeastSaber Pt 2\103b\,115,0,No Audio File Found
Z:\BS Files\BeastSaber\BeastSaber Pt 2\103c\,108,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\103c1\,200,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\103c5\,208,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\103c7\,124,0,No Audio File Found
Z:\BS Files\BeastSaber\BeastSaber Pt 2\103cd\,0,No BPM in File
Z:\BS Files\BeastSaber\BeastSaber Pt 2\103d8\,230,0,No Audio File Found
Z:\BS Files\BeastSaber\BeastSaber Pt 2\103db\,98,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\103e1\,89,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\103e8\,100,0,No Audio File Found
Z:\BS Files\BeastSaber\BeastSaber Pt 2\103ed\,130,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\103f\,125,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\103fb\,0,No BPM in File
Z:\BS Files\BeastSaber\BeastSaber Pt 2\103fb\,0,0,No Audio File Found
Z:\BS Files\BeastSaber\BeastSaber Pt 2\103fd\,126,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\104\,128,In Range
